pairID,sentence1,sentence2,gold_label,pos-pos,pos-neg,neg-pos,neg-neg,act-act,act-pas,pas-act,pas-pas,sentence-TT,sentence-TF,sentence-FT,sentence-FF,noun_chunks_=,noun_chunks_<,noun_chunks_>,word_count_=,word_count_<,word_count_>,quantifiers-TT,quantifiers-TF,quantifiers-FT,quantifiers-FF
2677109430.jpg#1r1n,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,neutral,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
2677109430.jpg#1r1e,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,entailment,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
2677109430.jpg#1r1c,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,contradiction,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
6160193920.jpg#4r1n,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is young.,neutral,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
6160193920.jpg#4r1e,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,entailment,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
6160193920.jpg#4r1c,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,contradiction,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
4791890474.jpg#3r1e,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,entailment,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
4791890474.jpg#3r1n,An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,neutral,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
4791890474.jpg#3r1c,An old man with a package poses in front of an advertisement.,A man walks by an ad.,contradiction,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
6526219567.jpg#4r1n,A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,neutral,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
6526219567.jpg#4r1e,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,entailment,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
6526219567.jpg#4r1c,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,contradiction,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
2832076014.jpg#2r1n,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,entailment,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
2832076014.jpg#2r1e,A land rover is being driven across a river.,A vehicle is crossing a river.,entailment,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
2832076014.jpg#2r1c,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,contradiction,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
1034985636.jpg#3r1c,A man playing an electric guitar on stage.,A man playing banjo on the floor.,contradiction,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True
1034985636.jpg#3r1e,A man playing an electric guitar on stage.,A man playing guitar on stage.,entailment,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True
1034985636.jpg#3r1n,A man playing an electric guitar on stage.,A man is performing for cash.,neutral,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
3856149623.jpg#1r1e,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,entailment,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
3856149623.jpg#1r1c,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,contradiction,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
3856149623.jpg#1r1n,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,neutral,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
